sa_code,sa_name,subtype,area_km2,intersection_count,junction_density,street_density_km_km2,avg_street_length_m,dead_end_ratio,circuity_avg,amenity_count,amenity_density,walkability_index
f6c357d7-64a9-490e-9efd-d664353d29b5,מטולה,locality,9.3157,129.0,13.847551328548747,8.205681462895942,250.6291270099937,0.5852090032154341,1.2917097012464542,81,8.694974090018981,22.34
403dd15d-c3bb-4775-9768-0bdb0b2b27a9,משגב עם,locality,0.1327,21.0,158.2607628177024,48.509784740962175,90.66027640328713,0.7236842105263158,1.0931542042990878,4,30.14490720337189,75.66
13cc8342-22ae-4f5b-81f4-18f8aa8f5773,כפר גלעדי,locality,0.4341,39.0,89.84275722287774,32.77999720115839,115.68720696498303,0.738255033557047,1.2997236376117345,20,46.073208832244994,66.9
9851863d-57b2-49db-9a3c-000da18e53ff,דפנה,locality,0.6538,100.0,152.9503694828306,34.318480252169124,91.95761324786464,0.5934959349593496,1.3940210040908574,20,30.59007389656612,71.33
b39f98e1-f8bd-4a4f-bd9f-f5d177c6b4db,מעיין ברוך,locality,0.4416,45.0,101.90688832668299,31.0067639457376,110.41897993838604,0.6715328467153284,1.14024986311798,13,29.43976773881953,65.05
36b7d286-57c0-4727-89da-c746da116e16,כפר יובל,locality,0.5637,70.0,124.17401192574553,27.512550414412427,106.22954533123962,0.4573643410852713,1.047673293303525,12,21.28697347298495,67.26
fd13cf97-60f9-4677-a4ed-440abeedc981,שניר,locality,0.419,30.0,71.59402849196051,25.55790605822747,140.91464526794388,0.6153846153846154,1.2407812709350348,3,7.159402849196051,45.61
d5635031-a613-45f2-b7fe-5dba4af833c6,דן,locality,0.4293,53.0,123.46137844735904,23.151637081960875,91.18007730229604,0.4803921568627451,1.166367357913993,13,30.28297961916354,65.33
2fd30c0b-9e8c-40d6-8561-4e6d9f41a417,שאר ישוב,locality,0.4537,11.0,24.24438530060468,20.022405915673552,412.9287186995451,0.35294117647058826,1.1990794469584662,16,35.26456043724317,48.73
ba98b603-69f5-40dc-8bcc-7eeb4cfc11ef,גונן,locality,0.5324,31.0,58.22994635206114,23.619355723495808,184.9159777184094,0.4918032786885246,1.3740010648082193,11,20.662239028150726,45.29
a577d1ed-d321-482f-807a-ea93cc7b2499,חולתה,locality,0.3147,30.0,95.34138692411024,23.746022920516097,103.77629837456912,0.6153846153846154,1.0645539246739733,10,31.780462308036746,61.64
d71feed5-76d5-4dab-a148-e081088fca7d,יסוד המעלה,locality,11.6872,84.0,7.187375634425742,7.926870567877244,319.4572230290502,0.7679558011049724,1.4905351898637609,57,4.877147751931753,16.31
c3704d98-0402-4f2f-8afe-7d44f21a72b8,מועצה אזורית מבואות החרמון,locality,134.617,675.0,5.014225545285843,6.138355169848707,404.8637714935194,0.7116616830414353,1.4049917134384258,230,1.7085509265418428,14.7
55df469f-6d4a-4223-a035-22c0e5adf715,מועצה אזורית גליל עליון,locality,295.8377,1853.0,6.263568501690774,6.35968935842119,347.25658504821035,0.6905477621910487,1.3980532588359844,591,1.99771666729587,15.32
fc794e16-b7a0-4396-b726-2c50f72a90aa,דישון,locality,0.2969,12.0,40.42099563874944,21.800573838628214,208.7759510904104,0.5714285714285714,1.2264438875957635,5,16.8420815161456,40.96
049d73aa-0df2-40dc-a031-964334ca988e,מלכיה,locality,0.3627,45.0,124.0568443419916,34.34852812615161,102.97090874014114,0.6715328467153284,1.1256151010390518,4,11.027275052621476,62.34
96f98132-337d-4c6d-ac25-77ca5c434698,רמות נפתלי,locality,0.5661,29.0,51.230995093194224,24.500584098375768,200.9983784458056,0.6081081081081081,1.1404466237061268,22,38.86489282931976,55.02
ed1e2e1e-2b77-41b3-a0ff-afcd72a19156,יפתח,locality,0.3513,31.0,88.25404478788386,37.766531184485814,131.34477427225198,0.7372881355932204,1.1553841441549768,6,17.08142802346139,57.15
