muni_code,city_name,n_deals,median_price,mean_price,price_per_room,year_min,year_max,sa_name,sa_code,subtype,area_km2,intersection_count,junction_density,street_density_km_km2,avg_street_length_m,dead_end_ratio,circuity_avg,amenity_count,amenity_density,walkability_index
100779,תל אביב -יפו,21072,3200000.0,3641424.5268602883,1046666.6666666666,2018,2023,תל־אביב–יפו,c4d498f5-029e-4b44-a211-d7d429e9d89d,locality,57.0999,6800.0,119.08952648003827,33.732922398646984,100.31490446547538,0.6471748041301303,1.281643953317393,24974,437.37379916359936,74.59
13148,בית שמש,4891,1485000.0,1594491.7744837457,405000.0,2018,2023,בית שמש,fd3316e4-8f50-4318-8692-42406a2bab2c,locality,38.2917,1838.0,47.99992072614336,17.375421062450574,136.06031295351926,0.6611981566820276,1.3406825677554413,953,24.88788055060643,41.03
14519,מודיעין-מכבים-רעות,3595,2340000.0,2449880.2361613354,565000.0,2018,2023,מודיעין-מכבים-רעות,14bdb612-c086-4af7-9d3e-276c2b225168,locality,41.4717,1988.0,47.93634734001735,18.741310738199907,133.82116159797957,0.6891807379612258,1.6522918970021243,1119,26.982280016840757,38.09
15040,רעננה,3312,2580000.0,2753410.272041063,616666.6666666666,2018,2023,רעננה,8223b2b2-ac4b-48ca-8c8f-7fe7d756fff7,locality,14.8646,1549.0,104.20744153723432,31.56921554815726,103.1347637567346,0.6747165056698866,1.6447173121639451,2126,143.02454532482903,66.17
17081,כפר סבא,3695,2250000.0,2375594.501759134,559583.3333333333,2018,2023,כפר סבא,aff2448c-d6cf-4f6e-b7f5-bb39caee14a8,locality,14.8484,1458.0,98.19210466548726,32.683613609091914,125.36833305452036,0.6217898832684825,1.257839664759481,2579,173.6882290344936,70.77
18355,חדרה,4917,1340000.0,1375466.76001627,347500.0,2018,2023,חדרה,e49bfe52-ac0b-4a63-b41d-afd5a5c67f46,locality,42.2181,234.0,5.542640928907392,12.186543010554116,584.6513629198375,0.7804878048780488,1.3697575174792815,124,2.937125962326994,19.86
18355,חדרה,4917,1340000.0,1375466.76001627,347500.0,2018,2023,חדרה,71c076c6-4ac7-4eab-b04e-1e1623a83188,locality,14.0596,1518.0,107.96919746544064,30.662857803966443,131.07523765512065,0.4833219877467665,1.150817107031233,1943,138.19772771762263,74.83
18384,הרצלייה,3947,2525000.0,2769952.9891056498,656250.0,2018,2023,הרצליה,193a2d1b-857e-4d75-8d20-4ea7af27efa9,locality,24.1941,2289.0,94.60991252448449,31.177922089036716,104.94173757170024,0.7102164830991264,1.3828778008332847,3373,139.4142572936156,68.18
22775,אשקלון,7188,1200000.0,1242277.9561769615,316666.6666666667,2018,2023,אשקלון,92570f57-f00f-4b6e-90db-5688502ccb67,locality,52.3197,3311.0,63.283979406237016,16.883161064284266,113.27548569502612,0.5480480480480481,1.3326853509896417,2287,43.71200872910421,51.41
23894,רחובות,6397,1800000.0,1896671.7189307488,471428.5714285714,2018,2023,רחובות,0ced9e57-7b93-49e7-ba40-ae889b511944,locality,23.757,2111.0,88.8579108208239,25.79488898180979,98.82437283836695,0.6853480399463407,1.4401978929491144,2362,99.42320481230983,63.37
24123,בני ברק,6635,1750000.0,1859412.8997739262,550000.0,2018,2023,בני ברק,86f8958b-b595-4ce1-8f9e-27b35663cf47,locality,7.3484,815.0,110.9083487292346,33.01814038924822,129.2652250375333,0.508147254073627,1.1718529952918797,1403,190.92566045044927,74.6
29156,בת ים,7712,1500000.0,1620007.2356068464,530000.0,2018,2023,בת ים,ba96f5d3-4647-4cc5-b268-b1347090c91d,locality,9.4102,892.0,94.79119429530796,28.451676406292894,117.84099283996667,0.5898850574712644,1.171234890799149,2097,222.84432111800533,70.36
34119,אשדוד,10711,1600000.0,1697137.2256558677,442500.0,2018,2023,אשדוד,248ef38a-2ef7-4f18-9cf4-71a8f9b1d9ab,locality,63.9185,2996.0,46.872157013178544,15.53785861627486,115.13532222878504,0.6647269471799463,1.3992243385292429,3179,49.73517594956428,48.64
36351,חולון,8728,1690000.0,1786861.5622135655,496666.6666666667,2018,2023,חולון,303073f9-c725-4f19-a5d9-891cec0ecef8,locality,19.0407,2004.0,105.24826599991876,27.700100682657567,100.78905671291513,0.6176302232398397,1.2725600510311286,3589,188.4910312743056,70.43
39093,רמת גן,10315,2191000.0,2339210.056713524,666666.6666666666,2018,2023,רמת גן,86365750-df62-4b4e-823a-e843b60715ab,locality,16.4273,1674.0,101.9036903868534,29.957126025714107,106.35702689772704,0.6429942418426103,1.34051573901393,5035,306.5024379317843,70.24
40747,ראשון לציון,9340,1790000.0,1913486.5917558887,500000.0,2018,2023,ראשון לציון,832a8ef7-0718-474d-a08f-36ce16a62d73,locality,61.9177,4349.0,70.23836844392424,22.14934276191961,104.3155792055458,0.6949140652402666,1.4099215745431184,5696,91.99304360924177,57.67
42076,באר שבע,14664,885000.0,972450.5876977632,266666.6666666667,2018,2023,באר שבע,e62fb8c2-6962-4d1d-a141-bc9e4d4d95d0,locality,117.4014,5281.0,44.98242793637097,15.635786472594011,123.58871721031252,0.6622321714102974,1.3908568606567542,3455,29.428950676038948,40.33
45470,נתניה,11103,1770000.0,1957783.3720616049,466666.6666666667,2018,2023,נתניה,347fa8c0-7803-42a9-8250-ccc17dd319af,locality,35.308,2637.0,74.68566582419152,22.591620612877826,123.24853062682908,0.5812956494125119,1.3433806123184735,4395,124.47610970698584,59.85
49499,פתח תקווה,13027,1765000.0,1910413.3980962615,482500.0,2018,2023,פתח תקווה,e810ba6e-ce95-41d2-9a2b-8cc226cae7ed,locality,35.8675,2796.0,77.95350269991881,23.670389121907057,109.95965735065684,0.6495362246176987,1.3303332016725335,4865,135.63797948322784,61.42
62630,חיפה,19881,1170000.0,1317499.8568482471,350000.0,2018,2023,חיפה,8a67f28f-c144-4c71-85b4-f45274e55ff3,locality,83.1543,4979.0,59.87663723757677,20.654004467674312,125.09791925352624,0.6626465207669896,1.2897310433327756,8552,102.8449491174446,56.4
65700,ירושלים,18565,2050000.0,2299030.228386749,600000.0,2018,2023,מערב ירושלים,85610838-1813-4e0c-a688-af7492ae5cf4,locality,51.2173,4687.0,91.51198617700896,31.35132419265994,113.5835931150985,0.6923531342303906,1.2895456591795669,9544,186.3431610995036,68.96
